company_id,metric_type,period_years,value_pct
COMP_01,compounded_sales_growth,10,18.5
COMP_01,compounded_sales_growth,5,15.0
COMP_01,compounded_sales_growth,3,12.2
COMP_01,compounded_profit_growth,10,22.0
COMP_01,compounded_profit_growth,5,18.4
COMP_01,compounded_profit_growth,3,14.1
COMP_01,stock_price_cagr,10,15.0
COMP_01,stock_price_cagr,5,12.0
COMP_01,roe,10,20.0
COMP_01,roe,5,22.5
COMP_01,roe,3,21.0
COMP_02,compounded_sales_growth,10,18.5
COMP_02,compounded_sales_growth,5,15.0
COMP_02,compounded_sales_growth,3,12.2
COMP_02,compounded_profit_growth,10,22.0
COMP_02,compounded_profit_growth,5,18.4
COMP_02,compounded_profit_growth,3,14.1
COMP_02,stock_price_cagr,10,15.0
COMP_02,stock_price_cagr,5,12.0
COMP_02,roe,10,20.0
COMP_02,roe,5,22.5
COMP_02,roe,3,21.0
COMP_03,compounded_sales_growth,10,18.5
COMP_03,compounded_sales_growth,5,15.0
COMP_03,compounded_sales_growth,3,12.2
COMP_03,compounded_profit_growth,10,22.0
COMP_03,compounded_profit_growth,5,18.4
COMP_03,compounded_profit_growth,3,14.1
COMP_03,stock_price_cagr,10,15.0
COMP_03,stock_price_cagr,5,12.0
COMP_03,roe,10,20.0
COMP_03,roe,5,22.5
COMP_03,roe,3,21.0
COMP_04,compounded_sales_growth,10,18.5
COMP_04,compounded_sales_growth,5,15.0
COMP_04,compounded_sales_growth,3,12.2
COMP_04,compounded_profit_growth,10,22.0
COMP_04,compounded_profit_growth,5,18.4
COMP_04,compounded_profit_growth,3,14.1
COMP_04,stock_price_cagr,10,15.0
COMP_04,stock_price_cagr,5,12.0
COMP_04,roe,10,20.0
COMP_04,roe,5,22.5
COMP_04,roe,3,21.0
COMP_05,compounded_sales_growth,10,18.5
COMP_05,compounded_sales_growth,5,15.0
COMP_05,compounded_sales_growth,3,12.2
COMP_05,compounded_profit_growth,10,22.0
COMP_05,compounded_profit_growth,5,18.4
COMP_05,compounded_profit_growth,3,14.1
COMP_05,stock_price_cagr,10,15.0
COMP_05,stock_price_cagr,5,12.0
COMP_05,roe,10,20.0
COMP_05,roe,5,22.5
COMP_05,roe,3,21.0
COMP_06,compounded_sales_growth,10,18.5
COMP_06,compounded_sales_growth,5,15.0
COMP_06,compounded_sales_growth,3,12.2
COMP_06,compounded_profit_growth,10,22.0
COMP_06,compounded_profit_growth,5,18.4
COMP_06,compounded_profit_growth,3,14.1
COMP_06,stock_price_cagr,10,15.0
COMP_06,stock_price_cagr,5,12.0
COMP_06,roe,10,20.0
COMP_06,roe,5,22.5
COMP_06,roe,3,21.0
COMP_07,compounded_sales_growth,10,18.5
COMP_07,compounded_sales_growth,5,15.0
COMP_07,compounded_sales_growth,3,12.2
COMP_07,compounded_profit_growth,10,22.0
COMP_07,compounded_profit_growth,5,18.4
COMP_07,compounded_profit_growth,3,14.1
COMP_07,stock_price_cagr,10,15.0
COMP_07,stock_price_cagr,5,12.0
COMP_07,roe,10,20.0
COMP_07,roe,5,22.5
COMP_07,roe,3,21.0
COMP_08,compounded_sales_growth,10,18.5
COMP_08,compounded_sales_growth,5,15.0
COMP_08,compounded_sales_growth,3,12.2
COMP_08,compounded_profit_growth,10,22.0
COMP_08,compounded_profit_growth,5,18.4
COMP_08,compounded_profit_growth,3,14.1
COMP_08,stock_price_cagr,10,15.0
COMP_08,stock_price_cagr,5,12.0
COMP_08,roe,10,20.0
COMP_08,roe,5,22.5
COMP_08,roe,3,21.0
COMP_09,compounded_sales_growth,10,18.5
COMP_09,compounded_sales_growth,5,15.0
COMP_09,compounded_sales_growth,3,12.2
COMP_09,compounded_profit_growth,10,22.0
COMP_09,compounded_profit_growth,5,18.4
COMP_09,compounded_profit_growth,3,14.1
COMP_09,stock_price_cagr,10,15.0
COMP_09,stock_price_cagr,5,12.0
COMP_09,roe,10,20.0
COMP_09,roe,5,22.5
COMP_09,roe,3,21.0
COMP_10,compounded_sales_growth,10,18.5
COMP_10,compounded_sales_growth,5,15.0
COMP_10,compounded_sales_growth,3,12.2
COMP_10,compounded_profit_growth,10,22.0
COMP_10,compounded_profit_growth,5,18.4
COMP_10,compounded_profit_growth,3,14.1
COMP_10,stock_price_cagr,10,15.0
COMP_10,stock_price_cagr,5,12.0
COMP_10,roe,10,20.0
COMP_10,roe,5,22.5
COMP_10,roe,3,21.0
COMP_11,compounded_sales_growth,10,18.5
COMP_11,compounded_sales_growth,5,15.0
COMP_11,compounded_sales_growth,3,12.2
COMP_11,compounded_profit_growth,10,22.0
COMP_11,compounded_profit_growth,5,18.4
COMP_11,compounded_profit_growth,3,14.1
COMP_11,stock_price_cagr,10,15.0
COMP_11,stock_price_cagr,5,12.0
COMP_11,roe,10,20.0
COMP_11,roe,5,22.5
COMP_11,roe,3,21.0
COMP_12,compounded_sales_growth,10,18.5
COMP_12,compounded_sales_growth,5,15.0
COMP_12,compounded_sales_growth,3,12.2
COMP_12,compounded_profit_growth,10,22.0
COMP_12,compounded_profit_growth,5,18.4
COMP_12,compounded_profit_growth,3,14.1
COMP_12,stock_price_cagr,10,15.0
COMP_12,stock_price_cagr,5,12.0
COMP_12,roe,10,20.0
COMP_12,roe,5,22.5
COMP_12,roe,3,21.0
COMP_13,compounded_sales_growth,10,18.5
COMP_13,compounded_sales_growth,5,15.0
COMP_13,compounded_sales_growth,3,12.2
COMP_13,compounded_profit_growth,10,22.0
COMP_13,compounded_profit_growth,5,18.4
COMP_13,compounded_profit_growth,3,14.1
COMP_13,stock_price_cagr,10,15.0
COMP_13,stock_price_cagr,5,12.0
COMP_13,roe,10,20.0
COMP_13,roe,5,22.5
COMP_13,roe,3,21.0
COMP_14,compounded_sales_growth,10,18.5
COMP_14,compounded_sales_growth,5,15.0
COMP_14,compounded_sales_growth,3,12.2
COMP_14,compounded_profit_growth,10,22.0
COMP_14,compounded_profit_growth,5,18.4
COMP_14,compounded_profit_growth,3,14.1
COMP_14,stock_price_cagr,10,15.0
COMP_14,stock_price_cagr,5,12.0
COMP_14,roe,10,20.0
COMP_14,roe,5,22.5
COMP_14,roe,3,21.0
COMP_15,compounded_sales_growth,10,18.5
COMP_15,compounded_sales_growth,5,15.0
COMP_15,compounded_sales_growth,3,12.2
COMP_15,compounded_profit_growth,10,22.0
COMP_15,compounded_profit_growth,5,18.4
COMP_15,compounded_profit_growth,3,14.1
COMP_15,stock_price_cagr,10,15.0
COMP_15,stock_price_cagr,5,12.0
COMP_15,roe,10,20.0
COMP_15,roe,5,22.5
COMP_15,roe,3,21.0
COMP_16,compounded_sales_growth,10,18.5
COMP_16,compounded_sales_growth,5,15.0
COMP_16,compounded_sales_growth,3,12.2
COMP_16,compounded_profit_growth,10,22.0
COMP_16,compounded_profit_growth,5,18.4
COMP_16,compounded_profit_growth,3,14.1
COMP_16,stock_price_cagr,10,15.0
COMP_16,stock_price_cagr,5,12.0
COMP_16,roe,10,20.0
COMP_16,roe,5,22.5
COMP_16,roe,3,21.0
COMP_17,compounded_sales_growth,10,18.5
COMP_17,compounded_sales_growth,5,15.0
COMP_17,compounded_sales_growth,3,12.2
COMP_17,compounded_profit_growth,10,22.0
COMP_17,compounded_profit_growth,5,18.4
COMP_17,compounded_profit_growth,3,14.1
COMP_17,stock_price_cagr,10,15.0
COMP_17,stock_price_cagr,5,12.0
COMP_17,roe,10,20.0
COMP_17,roe,5,22.5
COMP_17,roe,3,21.0
COMP_18,compounded_sales_growth,10,18.5
COMP_18,compounded_sales_growth,5,15.0
COMP_18,compounded_sales_growth,3,12.2
COMP_18,compounded_profit_growth,10,22.0
COMP_18,compounded_profit_growth,5,18.4
COMP_18,compounded_profit_growth,3,14.1
COMP_18,stock_price_cagr,10,15.0
COMP_18,stock_price_cagr,5,12.0
COMP_18,roe,10,20.0
COMP_18,roe,5,22.5
COMP_18,roe,3,21.0
COMP_19,compounded_sales_growth,10,18.5
COMP_19,compounded_sales_growth,5,15.0
COMP_19,compounded_sales_growth,3,12.2
COMP_19,compounded_profit_growth,10,22.0
COMP_19,compounded_profit_growth,5,18.4
COMP_19,compounded_profit_growth,3,14.1
COMP_19,stock_price_cagr,10,15.0
COMP_19,stock_price_cagr,5,12.0
COMP_19,roe,10,20.0
COMP_19,roe,5,22.5
COMP_19,roe,3,21.0
COMP_20,compounded_sales_growth,10,18.5
COMP_20,compounded_sales_growth,5,15.0
COMP_20,compounded_sales_growth,3,12.2
COMP_20,compounded_profit_growth,10,22.0
COMP_20,compounded_profit_growth,5,18.4
COMP_20,compounded_profit_growth,3,14.1
COMP_20,stock_price_cagr,10,15.0
COMP_20,stock_price_cagr,5,12.0
COMP_20,roe,10,20.0
COMP_20,roe,5,22.5
COMP_20,roe,3,21.0
COMP_21,compounded_sales_growth,10,18.5
COMP_21,compounded_sales_growth,5,15.0
COMP_21,compounded_sales_growth,3,12.2
COMP_21,compounded_profit_growth,10,22.0
COMP_21,compounded_profit_growth,5,18.4
COMP_21,compounded_profit_growth,3,14.1
COMP_21,stock_price_cagr,10,15.0
COMP_21,stock_price_cagr,5,12.0
COMP_21,roe,10,20.0
COMP_21,roe,5,22.5
COMP_21,roe,3,21.0
COMP_22,compounded_sales_growth,10,18.5
COMP_22,compounded_sales_growth,5,15.0
COMP_22,compounded_sales_growth,3,12.2
COMP_22,compounded_profit_growth,10,22.0
COMP_22,compounded_profit_growth,5,18.4
COMP_22,compounded_profit_growth,3,14.1
COMP_22,stock_price_cagr,10,15.0
COMP_22,stock_price_cagr,5,12.0
COMP_22,roe,10,20.0
COMP_22,roe,5,22.5
COMP_22,roe,3,21.0
COMP_23,compounded_sales_growth,10,18.5
COMP_23,compounded_sales_growth,5,15.0
COMP_23,compounded_sales_growth,3,12.2
COMP_23,compounded_profit_growth,10,22.0
COMP_23,compounded_profit_growth,5,18.4
COMP_23,compounded_profit_growth,3,14.1
COMP_23,stock_price_cagr,10,15.0
COMP_23,stock_price_cagr,5,12.0
COMP_23,roe,10,20.0
COMP_23,roe,5,22.5
COMP_23,roe,3,21.0
COMP_24,compounded_sales_growth,10,18.5
COMP_24,compounded_sales_growth,5,15.0
COMP_24,compounded_sales_growth,3,12.2
COMP_24,compounded_profit_growth,10,22.0
COMP_24,compounded_profit_growth,5,18.4
COMP_24,compounded_profit_growth,3,14.1
COMP_24,stock_price_cagr,10,15.0
COMP_24,stock_price_cagr,5,12.0
COMP_24,roe,10,20.0
COMP_24,roe,5,22.5
COMP_24,roe,3,21.0
COMP_25,compounded_sales_growth,10,18.5
COMP_25,compounded_sales_growth,5,15.0
COMP_25,compounded_sales_growth,3,12.2
COMP_25,compounded_profit_growth,10,22.0
COMP_25,compounded_profit_growth,5,18.4
COMP_25,compounded_profit_growth,3,14.1
COMP_25,stock_price_cagr,10,15.0
COMP_25,stock_price_cagr,5,12.0
COMP_25,roe,10,20.0
COMP_25,roe,5,22.5
COMP_25,roe,3,21.0
COMP_26,compounded_sales_growth,10,18.5
COMP_26,compounded_sales_growth,5,15.0
