company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning_flag,asset_turnover,net_debt_cr,free_cash_flow_cr,capex_cr,capex_intensity_pct,fcf_conversion_rate_pct,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,revenue_cagr_5yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,composite_quality_score
ABB,2012,8.771929824561402,12.220205686630369,22.411128284389488,31.221020092735703,15.986769570011026,0.0,False,,Debt Free,False,1.822491730981257,0.0,42.0,59.0,3.569267997580157,20.792079207920793,68.0,30.80952380952381,,0.0,101.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ABB,2014,8.699472759226714,11.731107205623902,25.12690355329949,33.88324873096447,17.383669885864794,0.0,False,,Debt Free,False,1.9982440737489024,0.0,0.0,0.0,0.0,0.0,93.0,37.523809523809526,,0.0,0.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ABB,2015,10.004368719965049,13.630406290956751,24.439701173959445,33.29775880469584,16.666666666666664,0.0,False,,Debt Free,False,1.665938864628821,0.0,-1899.0,1864.0,81.43294014853649,-608.6538461538462,108.0,44.61904761904762,,0.0,-35.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ABB,2016,9.755164498852334,13.963274674827849,21.338912133891213,30.543933054393307,15.77970297029703,0.0,False,138.33333333333334,,False,1.6175742574257426,0.0,728.0,816.0,31.216526396327467,199.45205479452056,120.0,56.904761904761905,,0.0,1544.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ABB,2017,9.541853255253187,13.709955218739237,19.971160778658977,28.69502523431867,13.407550822846078,0.0,False,227.5,,False,1.40513068731849,0.0,459.0,1730.0,59.59352394075095,115.32663316582914,130.0,66.04761904761905,,0.0,2189.0,11.921838734412127,,13.820988595468453,,13.837903230220427,,
ABB,2018,12.15888417222559,15.918738629472406,23.685764914353218,31.010041346721795,16.5976821192053,0.0,False,160.5,,False,1.365066225165563,0.0,-994.0,3192.0,96.78593086719223,-189.33333333333334,189.0,80.61904761904762,,0.0,2198.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ABB,2019,12.231584669747214,16.444686055993476,22.410358565737052,30.12948207171315,15.300918055083304,0.0,False,359.0,,False,1.2509350561033663,0.0,-459.0,3050.0,82.90296276162,-75.86776859504131,212.0,95.61904761904762,,0.0,2591.0,10.080781986304022,,17.844539784792257,,17.91541463444244,,
ABB,2020,14.488150500855118,18.49499144881505,24.39325380501851,29.04834996162701,16.718353538201296,0.07198683669271905,False,96.77777777777777,,False,1.153932901043135,175.0,-206.0,5643.0,137.86953334962132,-27.212681638044916,279.0,115.76190476190476,,175.0,5437.0,12.3257146520954,,20.960574881373727,,20.902725032898985,,
ABB,2021,16.03248259860789,21.392111368909514,26.5564950038432,33.46642468239565,17.994791666666668,0.058800922367409685,False,55.72222222222222,,False,1.1223958333333333,153.0,-225.0,4009.0,93.01624129930394,-24.40347071583514,325.0,123.9047619047619,,153.0,3784.0,10.518335991975135,,22.0639932086115,,22.05074170726322,,
ABB,2022,16.26297577854671,22.023203745165887,28.333333333333332,36.4064602960969,18.915719696969695,0.05390070921985816,False,61.31578947368421,,False,1.1631155303030303,152.0,161.0,3936.0,80.11398330958681,14.87985212569316,376.0,134.28571428571428,,152.0,4097.0,11.09638963877595,,23.598557458021684,,23.665597033231876,,
ABB,2023,17.74163395027108,22.546270330902974,29.767879548306148,36.53438352014541,20.82967515364355,0.03544542032622334,False,85.0,,False,1.1740561896400352,113.0,-922.0,4699.0,87.84819592447187,-76.45107794361525,447.0,151.8095238095238,,113.0,3777.0,10.155044260938272,,18.8021685142332,,18.787062786952035,,
ABB,2024,20.533424517011454,24.84185330825782,34.10962794660608,40.57525830773527,23.721113964052932,0.017040613462084634,False,141.75,,False,1.1552439265257752,60.0,1095.0,4943.0,84.51017267909045,75.36132140399174,565.0,167.66666666666666,,60.0,6038.0,9.716101277290168,,21.69314043381163,,21.65851677781967,,
ADANIENSOL,2014,,,0.0,0.0,,0.0,False,,Debt Free,False,,0.0,0.0,0.0,,,0.0,1.0,,0.0,0.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIENSOL,2015,-5.343511450381679,77.09923664122137,-0.6463527239150507,0.936572700296736,-0.06091193873999304,8.95752539242844,True,1.4246575342465753,,True,0.011399234249912982,9701.0,-1899.0,1864.0,1422.9007633587787,-1880.19801980198,0.0,0.9935779816513761,,9701.0,-35.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIENSOL,2016,16.773017319963536,87.83044667274385,13.77245508982036,17.118237541085545,3.1329814404903797,3.2129491017964074,False,2.0867293625914316,,False,0.18678699131619275,8565.0,728.0,816.0,37.192342752962624,37.77893098079917,3.0,2.429090909090909,,8585.0,1544.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIENSOL,2017,14.464534075104313,68.94993045897078,14.116050220563285,16.633115249119275,3.2472094293966123,3.045469969460468,False,2.2179203539823007,,False,0.22449457497463118,8870.0,459.0,1730.0,60.15299026425591,23.14674735249622,4.0,2.679090909090909,,8975.0,2189.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIENSOL,2018,28.98073022312373,71.65314401622717,18.87072808320951,17.142857142857142,6.620330147697655,1.7216443784051512,False,3.31489841986456,,False,0.22843903851723138,10428.0,-994.0,3192.0,80.93306288032454,-35.17338995046001,10.0,5.506363636363637,,10428.0,2198.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIENSOL,2019,7.652292950034223,38.02874743326489,6.950142981474575,9.858055358410219,1.716935929725413,2.50366778565212,False,2.2386772106398274,,False,0.2243688187235088,19801.0,-459.0,3050.0,41.752224503764545,-16.52267818574514,5.0,7.3118181818181816,,20137.0,2591.0,,ZERO_BASE,,ZERO_BASE,,ZERO_BASE,
ADANIENSOL,2020,6.184302733006307,37.29852838121934,8.30685963054477,13.003511986562835,1.7778449296164793,2.8528062124955875,False,2.019213583556747,,False,0.2874770214801944,23933.0,-206.0,5643.0,49.43062368605466,-4.837952090183185,7.0,7.7263636363636365,,24246.0,5437.0,144.37036240267406,,,TURNAROUND,,ZERO_BASE,
ADANIENSOL,2021,12.996171670360667,39.79447914567802,14.46350487722839,10.967956905647803,2.9837627792940737,3.0378966251821953,False,2.3925366084081245,,False,0.22958782439746495,26653.0,-225.0,4009.0,40.38887769494258,-5.69620253164557,11.0,8.108181818181817,,27095.0,3784.0,35.240737223764505,,28.513389561027825,,29.674411610965823,,
ADANIENSOL,2022,10.978859477704743,37.360099484810796,12.46847573892868,10.563857842521662,2.604078880836002,3.016443054574801,False,2.3221987315010573,,False,0.23719029158941513,29341.0,161.0,3936.0,34.96180493871025,3.8278649548264383,11.0,9.011818181818182,,29902.0,4097.0,31.381577615305556,,24.332603568890065,,22.423992536427463,,
ADANIENSOL,2023,9.636650868878357,33.98781313473256,10.90305557919823,9.81768400008692,2.3752132314766743,2.916843986722274,False,2.193815174397699,,False,0.24647704516798932,32900.0,-922.0,4699.0,35.34943203189649,-20.407259849490924,11.0,10.537219730941704,,34270.0,3777.0,27.507937149916796,,2.3058763473555732,,1.9244876491456564,,
ADANIENSOL,2024,7.201782380923707,34.38911302462817,5.69930903025971,9.519285261859519,1.730649572402217,1.8588992137240887,False,2.284784965666787,,False,0.24030850709768908,37401.0,1095.0,4943.0,29.764557114469802,19.17352477674663,10.0,17.472939217318903,,39009.0,6038.0,17.85124994851739,,16.42972571572392,,14.869835499703509,,
ADANIENT,2013,2.6264150943396225,12.983288409703503,5.692652832305104,6.636319548540694,1.0887540113166057,3.240418769863526,False,2.2325315005727377,,False,0.41453996120531683,69009.0,-7124.0,14790.0,31.892183288409704,-118.31921607706361,15.0,194.5090909090909,,69332.0,7666.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIENT,2014,4.815549529546654,17.07645549347553,11.1377699204445,9.800808464856846,2.240436233086654,3.0298438355011155,False,1.84815009644047,,False,0.4652503767929417,71692.0,221.0,8007.0,14.572224143265327,2.3553234573164232,20.0,215.97272727272727,,71980.0,8228.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIENT,2015,3.564725044597844,19.312805398278137,8.931902985074627,11.390772102215024,1.757982833274683,3.248250932835821,False,1.876700680272109,,False,0.4931608500742055,82827.0,-2933.0,11465.0,17.784844489257736,-23.55823293172691,18.0,233.8909090909091,,83571.0,8532.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIENT,2016,2.9404845918607387,4.951776052693484,7.4749588877261175,5.174055980581928,2.399289810216176,1.4328748691882194,False,2.0103168754605747,,False,0.8159504786583172,18364.0,3287.0,1825.0,5.366384380145848,195.19002375296913,9.0,121.61818181818182,,19169.0,5112.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIENT,2017,2.5319574083705145,5.206251881860236,6.543576683644596,5.437081927848608,1.9428283379891202,1.4746745897000566,False,2.1089896579156724,,False,0.7673226775325029,19804.0,-686.0,1460.0,3.996386828346974,-36.067297581493165,9.0,128.5090909090909,,20846.0,774.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIENT,2018,1.653490702594366,5.673087629439929,3.936642587315263,6.227464401393387,1.0530981295984398,1.1688647359003248,False,1.9208,,False,0.6368938923854268,16176.0,-4707.0,7649.0,21.2921723638793,-230.96172718351323,7.0,137.1727272727273,,17637.0,2942.0,-4.9788782627487205,,-13.378074899332725,,-14.137929651551106,,
ADANIENT,2019,1.2531266252259838,4.876297085118502,3.429113580916238,7.57336820646948,1.1895805905585857,0.7619273515857956,False,1.5218461538461538,,False,0.9492900131653188,9732.0,5723.0,2487.0,6.159142128334035,290.655154900965,7.0,134.14545454545456,,11243.0,3236.0,-5.975222430379501,,-28.168963139116254,,-18.93869169010509,,
ADANIENT,2020,2.3961477317236133,5.285348939013432,6.136779370980115,7.811755090921474,2.2186666666666666,0.7328140673865581,False,2.013994910941476,,False,0.9259306666666667,10467.0,1372.0,1082.0,2.4929152362739906,59.80819529206626,10.0,154.06363636363636,,12419.0,2454.0,-7.606982238213844,,-14.663139176416905,,-11.09104638678,,
ADANIENT,2021,2.645623087234742,6.338366593317652,6.0959263360335685,7.506140298328641,2.026464149408141,0.9456844804475786,False,2.178649237472767,,False,0.7659685762442606,10724.0,-4568.0,8611.0,21.77959885676708,-182.28252194732642,8.0,155.9909090909091,,16227.0,4043.0,3.058667787307945,,0.9035246758499982,,-2.3281316138826114,,
ADANIENT,2022,1.135119562085854,5.3500432152117545,3.5404591813811384,5.815756095269413,0.7756974386234324,1.8692546165251382,False,1.870942201108472,,False,0.6833618805740949,37312.0,-15656.0,17041.0,24.54768078363584,-421.5401184706516,7.0,202.33636363636364,,41604.0,1385.0,13.699840248771,,-3.155068356762114,,-4.902060720441037,,
ADANIENT,2023,1.899012074643249,6.913909361768857,7.328068742246831,10.223649580874424,1.7143504296493437,1.6096335965628876,False,2.431846812799194,,False,0.9027590990812441,46890.0,2167.0,15459.0,12.120903246040458,24.574733499659786,22.0,289.92105263157896,,53200.0,17626.0,28.84048322057997,,32.45780037178554,,25.73753098024454,,
ADANIENT,2024,3.458790097592848,11.799296833677312,7.960187130036281,9.300785624943797,1.8347563927644028,1.91968206988734,False,2.7492864983534577,,False,0.5304619074864663,70105.0,-8455.0,18767.0,19.463602327293845,-74.31660367407929,28.0,367.50877192982455,,80427.0,10312.0,19.015414753081238,,45.81058899665285,,31.95079107728942,,
ADANIGREEN,2017,-9.362549800796813,80.2788844621514,-3.906899418121363,7.261261261261261,-0.762987012987013,3.6134663341645887,False,1.4461077844311376,,True,0.08149350649350649,4321.0,-1483.0,1511.0,300.996015936255,-367.99007444168734,0.0,0.9442700156985872,,4347.0,28.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIGREEN,2018,-9.324324324324325,56.95945945945946,-10.290827740492169,7.523427041499331,-0.8784773060029283,7.355704697986577,True,1.6032608695652173,,False,0.09421350818002419,9777.0,-3779.0,4428.0,299.18918918918916,-448.2799525504152,-1.0,0.8574168797953964,,9864.0,649.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIGREEN,2019,-23.080660835762874,74.14965986394559,-24.573202276254527,11.671128107074571,-3.240551234820576,5.764097258147957,True,1.4264049955396967,,True,0.14040114613180515,11065.0,-1041.0,2666.0,129.54324586977648,-68.2175622542595,-3.0,1.235933503836317,,11142.0,1625.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIGREEN,2020,-2.6677128285602194,56.88505296194586,-2.8850233347475602,8.418974626952332,-0.36908380373425964,6.307170131523122,True,1.3457286432160804,,True,0.13835214937038645,14390.0,-1778.0,3743.0,146.8418987838368,-122.62068965517241,0.0,1.5070332480818414,,14866.0,1965.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIGREEN,2021,5.8258642765685025,71.73495518565942,8.272727272727273,8.485743496535273,0.6343231562804963,11.004090909090909,True,1.3476702508960574,,True,0.10888052418792694,23707.0,-7536.0,9137.0,292.4775928297055,-336.27844712182065,1.0,1.4066496163682864,,24209.0,1601.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIGREEN,2022,9.526592635885448,68.42002727449834,18.706962509563887,6.334090827111064,0.8294602571496421,20.211170619739864,True,1.5357279327474207,,False,0.08706788343454218,52258.0,-15603.0,18730.0,364.89382427430354,-444.2767653758542,3.0,1.6713554987212276,,52832.0,3127.0,59.19649782184464,,,TURNAROUND,,ZERO_BASE,
ADANIGREEN,2023,12.512860082304528,63.91460905349794,13.321467688937568,8.07775448177223,1.4542139323558863,7.423740416210296,True,1.936447956028856,,False,0.11621754920862665,53074.0,3408.0,3857.0,49.60133744855967,68.57142857142857,6.0,4.611111111111111,,54223.0,7265.0,39.347412006991476,,,TURNAROUND,,TURNAROUND,
ADANIGREEN,2024,13.665943600867678,79.3709327548807,11.913767019667171,9.381329641309643,1.2823383337743492,6.375756429652042,True,1.713943268078306,,False,0.09383459870951984,65099.0,-13347.0,21060.0,228.4164859002169,-182.3858977862804,7.0,6.6767676767676765,,67430.0,7713.0,34.976172926382844,,,TURNAROUND,,TURNAROUND,
