company_id,metric_type,raw_text,reason
COMP_01,roe,Last Year: 19.5%,Pattern match failed
COMP_02,roe,Last Year: 19.5%,Pattern match failed
COMP_03,roe,Last Year: 19.5%,Pattern match failed
COMP_04,roe,Last Year: 19.5%,Pattern match failed
COMP_05,roe,Last Year: 19.5%,Pattern match failed
COMP_06,roe,Last Year: 19.5%,Pattern match failed
COMP_07,roe,Last Year: 19.5%,Pattern match failed
COMP_08,roe,Last Year: 19.5%,Pattern match failed
COMP_09,roe,Last Year: 19.5%,Pattern match failed
COMP_10,roe,Last Year: 19.5%,Pattern match failed
COMP_11,roe,Last Year: 19.5%,Pattern match failed
COMP_12,roe,Last Year: 19.5%,Pattern match failed
COMP_13,roe,Last Year: 19.5%,Pattern match failed
COMP_14,roe,Last Year: 19.5%,Pattern match failed
COMP_15,roe,Last Year: 19.5%,Pattern match failed
COMP_16,roe,Last Year: 19.5%,Pattern match failed
COMP_17,roe,Last Year: 19.5%,Pattern match failed
COMP_18,roe,Last Year: 19.5%,Pattern match failed
COMP_19,roe,Last Year: 19.5%,Pattern match failed
COMP_20,roe,Last Year: 19.5%,Pattern match failed
COMP_21,roe,Last Year: 19.5%,Pattern match failed
COMP_22,roe,Last Year: 19.5%,Pattern match failed
COMP_23,roe,Last Year: 19.5%,Pattern match failed
COMP_24,roe,Last Year: 19.5%,Pattern match failed
COMP_25,roe,Last Year: 19.5%,Pattern match failed
COMP_26,roe,Last Year: 19.5%,Pattern match failed
COMP_27,roe,Last Year: 19.5%,Pattern match failed
COMP_28,roe,Last Year: 19.5%,Pattern match failed
COMP_29,roe,Last Year: 19.5%,Pattern match failed
COMP_30,roe,Last Year: 19.5%,Pattern match failed
COMP_31,roe,Last Year: 19.5%,Pattern match failed
COMP_32,roe,Last Year: 19.5%,Pattern match failed
COMP_33,roe,Last Year: 19.5%,Pattern match failed
COMP_34,roe,Last Year: 19.5%,Pattern match failed
COMP_35,roe,Last Year: 19.5%,Pattern match failed
COMP_36,roe,Last Year: 19.5%,Pattern match failed
COMP_37,roe,Last Year: 19.5%,Pattern match failed
COMP_38,roe,Last Year: 19.5%,Pattern match failed
COMP_39,roe,Last Year: 19.5%,Pattern match failed
COMP_40,roe,Last Year: 19.5%,Pattern match failed
COMP_41,roe,Last Year: 19.5%,Pattern match failed
COMP_42,roe,Last Year: 19.5%,Pattern match failed
COMP_43,roe,Last Year: 19.5%,Pattern match failed
COMP_44,roe,Last Year: 19.5%,Pattern match failed
COMP_45,roe,Last Year: 19.5%,Pattern match failed
COMP_46,roe,Last Year: 19.5%,Pattern match failed
COMP_47,roe,Last Year: 19.5%,Pattern match failed
COMP_48,roe,Last Year: 19.5%,Pattern match failed
COMP_49,roe,Last Year: 19.5%,Pattern match failed
COMP_50,roe,Last Year: 19.5%,Pattern match failed
COMP_51,roe,Last Year: 19.5%,Pattern match failed
COMP_52,roe,Last Year: 19.5%,Pattern match failed
COMP_53,roe,Last Year: 19.5%,Pattern match failed
COMP_54,roe,Last Year: 19.5%,Pattern match failed
COMP_55,roe,Last Year: 19.5%,Pattern match failed
COMP_56,roe,Last Year: 19.5%,Pattern match failed
COMP_57,roe,Last Year: 19.5%,Pattern match failed
COMP_58,roe,Last Year: 19.5%,Pattern match failed
COMP_59,roe,Last Year: 19.5%,Pattern match failed
COMP_60,roe,Last Year: 19.5%,Pattern match failed
COMP_61,roe,Last Year: 19.5%,Pattern match failed
COMP_62,roe,Last Year: 19.5%,Pattern match failed
COMP_63,roe,Last Year: 19.5%,Pattern match failed
COMP_64,roe,Last Year: 19.5%,Pattern match failed
COMP_65,roe,Last Year: 19.5%,Pattern match failed
COMP_66,roe,Last Year: 19.5%,Pattern match failed
COMP_67,roe,Last Year: 19.5%,Pattern match failed
COMP_68,roe,Last Year: 19.5%,Pattern match failed
COMP_69,roe,Last Year: 19.5%,Pattern match failed
COMP_70,roe,Last Year: 19.5%,Pattern match failed
COMP_71,roe,Last Year: 19.5%,Pattern match failed
COMP_72,roe,Last Year: 19.5%,Pattern match failed
COMP_73,roe,Last Year: 19.5%,Pattern match failed
COMP_74,roe,Last Year: 19.5%,Pattern match failed
COMP_75,roe,Last Year: 19.5%,Pattern match failed
COMP_76,roe,Last Year: 19.5%,Pattern match failed
COMP_77,roe,Last Year: 19.5%,Pattern match failed
COMP_78,roe,Last Year: 19.5%,Pattern match failed
COMP_79,roe,Last Year: 19.5%,Pattern match failed
COMP_80,roe,Last Year: 19.5%,Pattern match failed
COMP_81,roe,Last Year: 19.5%,Pattern match failed
COMP_82,roe,Last Year: 19.5%,Pattern match failed
COMP_83,roe,Last Year: 19.5%,Pattern match failed
COMP_84,roe,Last Year: 19.5%,Pattern match failed
COMP_85,roe,Last Year: 19.5%,Pattern match failed
COMP_86,roe,Last Year: 19.5%,Pattern match failed
COMP_87,roe,Last Year: 19.5%,Pattern match failed
COMP_88,roe,Last Year: 19.5%,Pattern match failed
COMP_89,roe,Last Year: 19.5%,Pattern match failed
COMP_90,roe,Last Year: 19.5%,Pattern match failed
COMP_91,roe,Last Year: 19.5%,Pattern match failed
COMP_92,roe,Last Year: 19.5%,Pattern match failed
