rank,company_id,company_name,broad_sector,year,return_on_equity_pct,roe_score,net_profit_margin_pct,npm_score,debt_to_equity,de_score,revenue_cagr_5yr,growth_score,interest_coverage,icr_score,composite_score,quality_rating
1,IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Unknown,2024,31.535623048538174,25,26.01873536299766,20,0.011921657678115243,20,17.955244103890912,20,82.73684210526316,15,100,Excellent
2,INDIGO,Interglobe Aviation Ltd,Unknown,2024,856.9779643231899,25,11.852722628584697,15,0.02098635886673662,20,19.313355125806165,20,22.612639724849526,15,95,Excellent
3,ADANIPOWER,Adani Power Ltd,Unknown,2024,37.22522071701755,25,41.36759945184802,20,0.6738570969010258,15,16.086096410440966,20,8.297225501770956,15,95,Excellent
4,TRENT,Trent Ltd,Unknown,2024,31.55982905982906,25,11.935353535353535,15,0.3935897435897436,20,36.30691600183056,20,8.043478260869565,15,95,Excellent
5,LTIM,LTIMindtree Ltd,Unknown,2024,21.755634638196916,25,12.90931103415266,15,0.11036773428232503,20,30.32798083513346,20,31.93243243243243,15,95,Excellent
6,EICHERMOT,Eicher Motors Ltd,Unknown,2024,21.081195005005533,25,24.195694242864054,20,0.021286685283734653,20,11.036936496739692,15,114.70588235294117,15,95,Excellent
7,NESTLEIND,Nestle India Ltd,Unknown,2024,98.57142857142858,25,16.12281708616873,15,0.09273182957393483,20,14.548573711802671,15,41.186206896551724,15,90,Excellent
8,TCS,Tata Consultancy Services Ltd,Unknown,2024,45.4199714271639,25,19.136712150207767,15,0.08912754322873048,20,10.463614801716602,15,87.09511568123393,15,90,Excellent
9,COALINDIA,Coal India Ltd,Unknown,2024,38.84632576899488,25,26.25628846856468,20,0.0812499350291589,20,7.402890725901301,10,11.24178180085755,15,90,Excellent
10,ABB,Abbott India Ltd,Unknown,2024,34.10962794660608,25,20.533424517011454,20,0.017040613462084634,20,9.716101277290168,10,141.75,15,90,Excellent
11,ASIANPAINT,Asian Paints Indian Multi-National Paint and Coating Manufacturing Company,Unknown,2024,30.836662228140256,25,15.658543456824905,15,0.13959165557035064,20,13.029660349453076,15,41.00487804878049,15,90,Excellent
12,INFY,Infosys Ltd,Unknown,2024,29.015177475874115,25,17.08075746730006,15,0.09732155687960824,20,13.199100930556229,15,87.52340425531915,15,90,Excellent
13,ITC,ITC Ltd,Unknown,2024,27.57021762814551,25,29.282025230717128,20,0.004039008317168443,20,7.950896846254429,10,362.9625,15,90,Excellent
14,HCLTECH,HCL Technologies Ltd,Unknown,2024,22.809437386569872,25,14.293122742532729,15,0.08407985480943739,20,12.710299978373406,15,46.46112115732369,15,90,Excellent
15,PIDILITIND,Pidilite Industries Ltd,Unknown,2024,20.04589787722318,25,14.108051360736493,15,0.04348823866896156,20,11.836370175898114,15,54.333333333333336,15,90,Excellent
16,ATGL,Adani Total Gas Ltd,Unknown,2024,17.08003068268985,20,14.927374301675977,15,0.3725389925850166,20,21.08864867789759,20,10.504504504504505,15,90,Excellent
17,BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Unknown,2024,12.311318389248282,12,432.7262044653349,20,0.0007856510037945271,20,31.612293448969165,20,3764.5,15,87,Excellent
18,BEL,Bharat Electronics Ltd,Unknown,2024,4379.120879120879,25,19.661535425300965,15,0.8571428571428571,15,10.7508063318833,15,476.75,15,85,Excellent
19,HAL,Hindustan Aeronautics Ltd,Unknown,2024,3669.0821256038644,25,24.999177117277245,20,0.5990338164251208,15,8.712548590236358,10,270.8837209302326,15,85,Excellent
20,BAJAJ-AUTO,Bajaj Auto Ltd,Unknown,2024,24.881371251492947,25,17.178515712057056,15,0.16930824106652895,20,8.127604751021389,10,174.41666666666666,15,85,Excellent
21,TORNTPHARM,Torrent Pharmaceuticals Ltd,Unknown,2024,22.068230277185503,25,15.436241610738255,15,0.4168443496801706,20,6.932744476678732,10,9.926553672316384,15,85,Excellent
22,HINDUNILVR,Hindustan Unilever Ltd,Unknown,2024,20.249724279187017,25,16.611735814915342,15,0.03251536158815188,20,9.504485244074123,10,57.847001223990205,15,85,Excellent
23,ZYDUSLIFE,ZYDUSLIFE,Unknown,2024,18.20389461626575,20,20.32536962193687,20,0.00870561282932417,20,8.224416370673238,10,70.08641975308642,15,85,Excellent
24,DRREDDY,Dr Reddys Laboratories Ltd,Unknown,2024,18.140427330970113,20,19.913605369319196,15,0.15785879215584248,20,12.639644349571988,15,51.707602339181285,15,85,Excellent
