company_id,broad_sector,pe_ratio,pb_ratio,ev_ebitda,fcf_yield_pct,median_5yr_pe,pe_vs_sector_median_pct,flag
COMP_03,Financials,13.399116739300382,1.3345205033618617,8.71,0.13,13.95,-44.43,Discount
COMP_04,Energy,14.196855543585581,1.3437527697388814,9.23,-0.03,13.1,-41.58,Discount
COMP_05,Manufacturing,14.067980796611398,3.0807575257455992,9.14,0.67,14.97,-50.17,Discount
COMP_09,Energy,43.09758412950305,2.11314446679218,28.01,0.11,46.18,77.36,Caution
COMP_10,Healthcare,42.55337564853248,2.4440117458791026,27.66,0.0,36.35,53.96,Caution
COMP_11,Manufacturing,14.008130102505874,1.7794152355811277,9.11,0.05,12.95,-50.38,Discount
COMP_17,Healthcare,19.176238567887417,4.6061819514453,12.46,0.09,20.52,-30.62,Discount
COMP_23,Manufacturing,19.607924574181553,3.953128911053553,12.75,-0.01,21.4,-30.54,Discount
COMP_25,IT Services,31.42801616249817,1.9902519452023908,20.43,0.07,35.51,59.45,Caution
COMP_26,Pharma,17.613088723566264,4.753507080235102,11.45,0.08,17.85,-31.55,Discount
COMP_28,Pharma,10.466125500745528,3.495721714115061,6.8,-0.04,10.83,-59.32,Discount
COMP_31,Healthcare,44.719369818110394,4.291565661452145,29.07,0.15,45.01,61.79,Caution
COMP_32,IT Services,38.25805720470697,1.910259104815494,24.87,0.02,33.31,94.1,Caution
COMP_38,IT Services,13.008101044274365,4.7071504473510375,8.46,-0.0,12.49,-34.0,Discount
COMP_39,Consumer Goods,20.799056557562686,2.4389855097062667,13.52,0.12,23.27,-35.33,Discount
COMP_58,Consumer Goods,19.515047317345562,4.3210273266220485,12.68,0.04,19.46,-39.32,Discount
COMP_63,IT Services,10.200448048089388,0.8164728126196491,6.63,0.45,10.68,-48.25,Discount
COMP_64,Consumer Goods,15.796083663086517,5.7787296989981005,10.27,1.3,14.66,-50.88,Discount
COMP_66,Healthcare,18.397166459622404,4.9781102651438,11.96,0.07,16.52,-33.44,Discount
COMP_71,Financials,44.059897019407195,1.0714328710338525,28.64,0.34,48.21,82.75,Caution
COMP_78,Healthcare,14.019890520916938,3.738443624754333,9.11,0.11,14.17,-49.28,Discount
COMP_79,Healthcare,13.690859911739487,5.9484491555509065,8.9,0.05,13.1,-50.47,Discount
COMP_80,Financials,11.766736269132865,3.430981120221645,7.65,0.29,11.25,-51.2,Discount
COMP_81,Financials,38.456950736227796,5.422214604818874,25.0,0.04,42.25,59.51,Caution
COMP_86,Healthcare,8.422465387800724,4.4592388540710655,5.47,0.44,7.98,-69.53,Discount
COMP_87,IT Services,31.126079885152613,2.446058259392924,20.23,0.0,29.77,57.92,Caution
COMP_88,Manufacturing,10.529068411468469,4.875551180917357,6.84,0.06,10.55,-62.7,Discount
COMP_90,Manufacturing,43.202659171285944,2.3459121095981352,28.08,0.12,48.08,53.04,Caution
COMP_91,Energy,15.884145321337902,5.683096899029373,10.32,0.15,13.99,-34.63,Discount
COMP_92,Pharma,11.427142872900586,4.691598618316403,7.43,0.05,11.06,-55.59,Discount
